Company,ExpandRound2,FundingYear,FundingDate,Amount,SourceURL,Founded_Year,Status,ReportRegion1,ReportRegion2,ReportRegion3,ReportCountry,ReportCity,L2 (Bank Type),L3 (Bank Model),Sector
Atom Bank,Unattributed VC,2014,12/4/2014,"  39,178,075 ",https://www.atombank.co.uk/,2014,Operating,EMEA,Europe (incl Russia),Northern Europe,United Kingdom,Durham,Challenger Bank,FinTech,Retail Banking
Atom Bank,Unattributed VC,2015,11/24/2015,"  123,698,339 ",https://www.atombank.co.uk/,2014,Operating,EMEA,Europe (incl Russia),Northern Europe,United Kingdom,Durham,Challenger Bank,FinTech,Retail Banking
Atom Bank,Unattributed VC,2017,3/3/2017,"  102,065,285 ",https://www.atombank.co.uk/,2014,Operating,EMEA,Europe (incl Russia),Northern Europe,United Kingdom,Durham,Challenger Bank,FinTech,Retail Banking
Atom Bank,Unattributed VC,2018,3/7/2018,"  207,176,367 ",https://www.atombank.co.uk/,2014,Operating,EMEA,Europe (incl Russia),Northern Europe,United Kingdom,Durham,Challenger Bank,FinTech,Retail Banking
Atom Bank,Unattributed VC,2019,7/22/2019,"  62,361,557 ",https://www.atombank.co.uk/,2014,Operating,EMEA,Europe (incl Russia),Northern Europe,United Kingdom,Durham,Challenger Bank,FinTech,Retail Banking
Betterment,Series A,2010,12/1/2010,"  3,000,000 ",http://www.betterment.com,2008,Operating,Americas,North America,NY,United States,New York,NeoBank,Independent ,Retail Banking
Betterment,Series B,2012,10/3/2012,"  10,000,000 ",http://www.betterment.com,2008,Operating,Americas,North America,NY,United States,New York,NeoBank,Independent ,Retail Banking
Betterment,Series C,2014,4/15/2014,"  32,000,000 ",http://www.betterment.com,2008,Operating,Americas,North America,NY,United States,New York,NeoBank,Independent ,Retail Banking
Betterment,Series D,2015,2/17/2015,"  60,000,000 ",http://www.betterment.com,2008,Operating,Americas,North America,NY,United States,New York,NeoBank,Independent ,Retail Banking
Betterment,Series E+,2016,3/29/2016,"  100,000,000 ",http://www.betterment.com,2008,Operating,Americas,North America,NY,United States,New York,NeoBank,Independent ,Retail Banking
Betterment,Series E+,2017,7/21/2017,"  70,000,000 ",http://www.betterment.com,2008,Operating,Americas,North America,NY,United States,New York,NeoBank,Independent ,Retail Banking
Bnc10,Seed/Angel,2018,5/15/2018,  -   ,https://bnc10.com/,2018,Operating,EMEA,Europe (incl Russia),Southwestern and Central Europe,Spain,Barcelona,NeoBank,Independent ,Retail Banking
Bnc10,Seed/Angel,2019,12/17/2019,"  1,115,138 ",https://bnc10.com/,2018,Operating,EMEA,Europe (incl Russia),Southwestern and Central Europe,Spain,Barcelona,NeoBank,Independent ,Retail Banking
BNEXT,Seed/Angel,2017,4/5/2017,"  300,000 ",https://bnext.es/,2017,Operating,EMEA,Europe (incl Russia),Southwestern and Central Europe,Spain,Madrid,Challenger Bank,FinTech,Retail Banking
BNEXT,Seed/Angel,2017,6/1/2017,  -   ,https://bnext.es/,2017,Operating,EMEA,Europe (incl Russia),Southwestern and Central Europe,Spain,Madrid,Challenger Bank,FinTech,Retail Banking
BNEXT,Seed/Angel,2018,3/22/2018,"  1,602,145 ",https://bnext.es/,2017,Operating,EMEA,Europe (incl Russia),Southwestern and Central Europe,Spain,Madrid,Challenger Bank,FinTech,Retail Banking
BNEXT,Seed/Angel,2018,6/1/2018,  -   ,https://bnext.es/,2017,Operating,EMEA,Europe (incl Russia),Southwestern and Central Europe,Spain,Madrid,Challenger Bank,FinTech,Retail Banking
BNEXT,Series A,2019,9/30/2019,"  25,000,000 ",https://bnext.es/,2017,Operating,EMEA,Europe (incl Russia),Southwestern and Central Europe,Spain,Madrid,Challenger Bank,FinTech,Retail Banking
BNEXT,Series A,2020,8/5/2020,"  13,059,806 ",https://bnext.es/,2017,Operating,EMEA,Europe (incl Russia),Southwestern and Central Europe,Spain,Madrid,Challenger Bank,FinTech,Retail Banking
Bridge money,Seed/Angel,2020,3/1/2020,"  1,000,000 ",https://www.bridgemoney.co/,2018,Operating,Americas,North America,IL,United States,Chicago,NeoBank,Partnership,Retail Banking
Brightside,Seed/Angel,2018,5/7/2018,"  4,000,000 ",https://www.gobrightside.com/,2017,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail Banking
Brightside,Seed/Angel,2019,1/15/2019,"  125,000 ",https://www.gobrightside.com/,2017,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail Banking
Brightside,Series A,2020,6/16/2020,"  35,100,000 ",https://www.gobrightside.com/,2017,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail Banking
brubank,Seed/Angel,2018,1/5/2018,"  12,800,000 ",https://brubank.com/,2017,Operating,Americas,South & Central America,South America,Argentina,Buenos Aires,Challenger Bank,FinTech,Retail Banking
bunq,Seed/Angel,2014,12/31/2014,"  20,206,102 ",https://www.bunq.com,2012,Operating,EMEA,Europe (incl Russia),Western Europe,Netherlands,Amsterdam,Challenger Bank,FinTech,Retail and SME
bunq,Seed/Angel,2016,12/31/2016,"  9,680,746 ",https://www.bunq.com,2012,Operating,EMEA,Europe (incl Russia),Western Europe,Netherlands,Amsterdam,Challenger Bank,FinTech,Retail and SME
bunq,Seed/Angel,2017,12/31/2017,"  10,801,728 ",https://www.bunq.com,2012,Operating,EMEA,Europe (incl Russia),Western Europe,Netherlands,Amsterdam,Challenger Bank,FinTech,Retail and SME
bunq,Seed/Angel,2018,12/30/2018,"  11,439,239 ",https://www.bunq.com,2012,Operating,EMEA,Europe (incl Russia),Western Europe,Netherlands,Amsterdam,Challenger Bank,FinTech,Retail and SME
CapWay,Seed/Angel,2017,9/6/2017,"  20,000 ",http://CapWay.co,2017,Operating,Americas,North America,GA,United States,Atlanta,NeoBank,Partnership,Retail Banking
CapWay,Seed/Angel,2017,12/5/2017,  -   ,http://CapWay.co,2017,Operating,Americas,North America,GA,United States,Atlanta,NeoBank,Partnership,Retail Banking
CapWay,Seed/Angel,2019,9/18/2019,  -   ,http://CapWay.co,2017,Operating,Americas,North America,GA,United States,Atlanta,NeoBank,Partnership,Retail Banking
Cashaa,Seed/Angel,2016,7/1/2016,  -   ,https://cashaa.com,2016,Operating,EMEA,Europe (incl Russia),Northern Europe,United Kingdom,London,Challenger Bank,FinTech,Retail and SME
Cashaa,Seed/Angel,2019,3/1/2019,  -   ,https://cashaa.com,2016,Operating,EMEA,Europe (incl Russia),Northern Europe,United Kingdom,London,Challenger Bank,FinTech,Retail and SME
Cheese,Unattributed VC,2020,4/16/2020,  -   ,https://www.earncheese.com/,2019,Operating,Americas,North America,TX,United States,Pasadena,NeoBank,Partnership,Retail Banking
Chime,Seed/Angel,2013,8/30/2013,"  3,775,000 ",http://www.chimebank.com,2013,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail Banking
Chime,Series A,2014,11/5/2014,"  8,000,000 ",http://www.chimebank.com,2013,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail Banking
Chime,Series A,2016,5/19/2016,"  9,000,000 ",http://www.chimebank.com,2013,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail Banking
Chime,Series B,2017,9/27/2017,"  18,000,000 ",http://www.chimebank.com,2013,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail Banking
Chime,Series C,2018,5/31/2018,"  70,000,000 ",http://www.chimebank.com,2013,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail Banking
Chime,Series D,2019,3/5/2019,"  200,000,000 ",http://www.chimebank.com,2013,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail Banking
Chime,Series E+,2019,12/5/2019,"  699,999,995 ",http://www.chimebank.com,2013,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail Banking
ChimpChange,Seed/Angel,2015,1/1/2015,  -   ,http://www.chimpchange.me/,2012,Operating,Americas,North America,CA,United States,Los Angeles,NeoBank,Partnership,Retail Banking
Coconut,Seed/Angel,2017,1/1/2017,  -   ,https://getcoconut.com,2016,Operating,EMEA,Europe (incl Russia),Northern Europe,United Kingdom,London,Challenger Bank,FinTech,Retail Banking
